,0
0,SOA GSR 2-1
1,SOA GSR 2-2
2,SOA GSR 2-3
3,SOA GSR 2-4
4,SOA GSR 2-5
5,SOA GSR 2-6
6,SOA GSR 2-7
7,SOA GSR 2-8
8,SOA GSR 2-9
9,SOA GSR 3-1
10,SOA GSR 3-10
11,SOA GSR 3-2
12,SOA GSR 3-3
13,SOA GSR 3-4
14,SOA GSR 3-5
15,SOA GSR 3-6
16,SOA GSR 3-7
17,SOA GSR 3-8
18,SOA GSR 3-9
